country,iso2,year,new.labconf,new.clindx,new.ep,ret.rel.labconf,ret.rel.clindx,ret.rel.ep,ret.nrel,ret.nrel.clindx,c.newunk,c.newinc,c.ret,c.notified,pulm.labconf.new,pulm.labconf.ret,pulm.labconf.unk,notif.foreign,rel.in.agesex.flg,agegroup.option,newrel.m04,newrel.m59,newrel.m1014,newrel.m514,newrel.m014,newrel.m1519,newrel.m2024,newrel.m1524,newrel.m2534,newrel.m3544,newrel.m4554,newrel.m5564,newrel.m65,newrel.m15plus,newrel.mu,newrel.f04,newrel.f59,newrel.f1014,newrel.f514,newrel.f014,newrel.f1519,newrel.f2024,newrel.f1524,newrel.f2534,newrel.f3544,newrel.f4554,newrel.f5564,newrel.f65,newrel.f15plus,newrel.fu,c.new.014,rdx.data.available,newinc.rdx,rdxsurvey.newinc,rdxsurvey.newinc.rdx,gaps.na.tbcases,remarks.tbcases,conf.rr.nfqr,conf.rr.fqr,unconf.rr.nfqr.tx,conf.rr.nfqr.tx,rrmdr.014.tx,conf.rr.fqr.tx,mdrxdr.bdq.used,mdrxdr.bdq.tx,mdrxdr.alloral.used,mdrxdr.alloral.tx,mdr.alloral.short.used,mdr.alloral.short.tx,mdr.tx.adsm,gaps.na.mdr.patients,remarks.mdr.patients,r.rlt.new,r.rlt.ret,rr.new,rr.ret,r.rlt.rel,rr.rel,dst.rlt.new,dst.rlt.ret,dst.rlt.hr.new,dst.rlt.hr.ret,dst.rlt.rr.new,dst.rlt.rr.ret,mdr.new,mdr.ret,rr.dst.rlt.fq,rr.fqr,rr.fqr.bdqr.lzdr,rr.fqr.bdqs.lzdr,rr.fqr.bdqu.lzdr,rr.fqr.bdqr.lzds,rr.fqr.bdqs.lzds,rr.fqr.bdqu.lzds,rr.fqr.bdqr.lzdu,rr.fqr.bdqs.lzdu,rr.fqr.bdqu.lzdu,gaps.na.dr.surveillance,remarks.dr.surveillance,newrel.tbhiv.flg,newrel.hivtest,newrel.hivpos,newrel.art,tbhiv.014.flg,newrel.hivtest.014,newrel.hivpos.014,newrel.art.014,gaps.na.hiv.patients,remarks.hiv.patients,hiv.tbrx.art,hiv.tbrx.art.NA,hiv.tbrx.art.NI.reason,hiv.tbrx.art.remarks,hiv.tbdetect,hiv.reg.new2,hiv.tbdetect.hiv.reg.new2.NA,hiv.tbdetect.hiv.reg.new2.NI.reason,hiv.tbdetect.hiv.reg.new2.remarks,hiv.tpt.eligible.start,hiv.tpt.eligible,hiv.art.tpt.start,hiv.art,hiv.tpt.eligible.start.NA,hiv.tpt.eligible.start.NI.reason,hiv.tpt.eligible.start.remarks,hiv.tpt.completed,hiv.tpt.eligible.start.ym2,hiv.tpt.completed.NA,hiv.tpt.completed.NI.reason,hiv.tpt.completed.remarks,hiv.unaids.date.exported,tbhiv.surveil,tbhiv.surv.prev,tbhiv.surv.yr,tbhiv.surv.cil,tbhiv.surv.ciu,tbhiv.sentin.prev,tbhiv.sentin.yr,tbhiv.sentin.cil,tbhiv.sentin.ciu,gaps.na.nonroutine.hiv,remarks.nonroutine.hiv,total.deaths.vr,r00.r99.deaths.vr,tbdeaths.vr,gaps.na.tbdeaths,remarks.tbdeaths
Saint Kitts and Nevis,KN,2020,2,,,,,,,,2,2,,2,,2,,2,1,221,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,60,2,,,1,,0,0,0,0,0,0,0,,0,,0,,0,1,,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,,,,0,,0,0,,,0,0,0,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Democratic People's Republic of Korea,KP,2020,24129,42023,17305,6183,0,0,8729,,83457,89640,14912,98369,24129,14912,0,0,1,221,476,,,2230,,,,5464,9628,13793,14840,8061,2452,54238,0,363,,,1547,,,,3808,6193,8020,7596,3796,1373,30786,0,4616,0,,,,1,,1902,0,0,640,0,0,0,,0,,0,,640,1,,0,3061,0,1902,0,0,0,,0,,0,,0,,0,0,,,,,,,,,,1,,0,,,,,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,1,,,,,,
Republic of Korea,KR,2020,12197,3354,4770,1940,700,553,1836,,20321,23514,5029,25350,11977,2625,220,1316,1,220,4,6,15,,,131,316,,960,1115,2156,3088,6368,14134,0,5,5,19,,,100,305,,800,821,981,1183,5136,9326,0,54,60,10002,,,0,,582,47,0,582,2,47,1,302,3,,3,,,1,"2.22 
Used drug after pre-examination and Conditional approval(2020.1.1~12.31) 
(Exclusion condition of use of new drugs before January 1st and use of the same drug for more than 24 weeks.)

2.27 
Although MDR-TB patients with adverse event existed, reporting is not mandatory",10623,2195,333,197,,,10623,2195,849,274,333,197,214,126,530,47,1,4,0,0,42,0,0,0,0,0,,,,,,,,,,1,"According to Privacy Protection Act, TB & HIV registries cannot be merged",,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,,
Kuwait,KW,2020,299,172,220,0,0,0,0,,691,691,0,691,299,0,0,605,,221,4,,,3,,,,27,127,116,99,37,22,428,0,4,,,2,,,,24,80,80,43,16,7,250,0,13,60,443,,,1,,6,1,0,6,0,1,0,,1,6,0,,7,1,,299,0,7,0,,,299,0,18,0,7,0,6,0,7,1,,,,,,,,,,1,,1,289,4,4,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,1,,,,,,
Cayman Islands,KY,2020,1,0,1,0,0,0,0,,2,2,0,2,1,0,0,2,,221,0,,,0,,,,0,0,0,0,1,1,2,0,0,,,0,,,,0,0,0,0,0,0,0,0,0,60,2,,,0,,0,0,0,0,0,0,0,,0,,0,,0,1,There were no MDR-TB cases identified in the Cayman Islands in 2020.,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,There were no MDR or XDR-TB cases detected in the Cayman Islands in 2020.,1,2,0,0,1,0,0,0,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,1,In the Cayman Islands all TB or suspected TB cases are screened for HIV and all HIV patients are routinely screened for TB.,,,,,
Kazakhstan,KZ,2020,4862,1189,883,1863,720,86,417,58,6934,9603,3086,10020,4862,2222,0,178,1,220,27,52,48,,,243,318,,979,1071,841,756,548,4756,0,37,59,80,,,231,312,,943,994,814,653,597,4544,0,303,60,9219,,,0,,3114,1193,678,3400,75,1178,1,1325,,,,,,1,,4858,2216,1758,1101,1852,837,4858,2216,2279,1334,1758,1101,1340,988,2848,399,,,,,,,,,,1,,1,9440,614,592,,,,,0,,592,0,,,130,3198,0,,,1209,1325,1403,1520,0,,,1569,1606,0,,,2021-06-28,0,,,,,,,,,0,,,,364,1,
Lao People's Democratic Republic,LA,2020,4281,2893,497,181,159,2,109,,7671,8013,451,8122,4281,242,0,120,1,221,5,,,24,,,,356,815,803,980,1081,1203,5238,0,12,,,29,,,,185,318,359,544,631,668,2705,0,70,60,6386,,,0,"2.6 total number of TB cases reported among foreign-born individuals reported in TB-Tracker 

2.11  new and relapse TB cases initially tested by Xpert available in case-based TB tracker system in the country coverage.",49,0,0,39,0,0,1,1,0,,0,,0,0,,3810,242,29,20,,,,,,,,,,,35,0,,,,,,,,,,1,Questions 2.30 to 2.35: Isoniazid sensitivity rapid testing is not available,0,6618,369,276,,,,,0,"2.46: The number of TB/HIV patients on ART in 2020 [297] in the TB program reported by quarter, 
The number reported by the National AIDS Programme [276] Reported by monthly
And data source is deference",276,0,,,276,1276,0,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Lebanon,LB,2020,345,81,228,4,0,0,2,,654,658,6,660,345,6,0,383,1,220,13,8,2,,,18,32,,68,42,36,19,30,245,0,10,4,6,,,22,43,,199,50,26,17,13,370,0,43,60,415,,,0,,2,1,0,2,0,1,1,1,0,,1,2,2,0,,327,6,2,1,,,23,5,3,0,2,1,1,0,2,1,,,,,,,,,1,1,,1,535,2,2,,,,,0,,2,0,,,2,162,0,,,,,,,0,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Saint Lucia,LC,2020,7,0,1,0,0,0,0,,8,8,0,8,7,0,0,0,1,220,0,0,0,,,0,0,,0,1,3,0,2,6,0,0,0,0,,,0,0,,0,0,0,0,2,2,0,0,60,3,,,0,,0,0,0,0,0,0,0,,0,,0,,0,0,There were no diagnosed cases of MDR-TB in 2020.,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,7,0,0,1,0,0,0,0,"Extra-Pulmonary TB client refused HIV testing.  Under our protocols, HIV testing is not mandatory.  Clients choose whether they want to do it or not after recommendation for testing.",0,0,,,0,48,0,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,"All persons diagnosed with TB are to be tested for HIV, as per National Protocols",,,,,
Sri Lanka,LK,2020,3738,1024,1929,254,33,57,223,,6691,7035,567,7258,3734,432,4,7,1,221,34,,,57,,,,266,456,741,943,1057,987,4450,,26,,,75,,,,362,339,349,388,470,485,2393,,192,60,597,,,1,,13,1,0,14,0,1,1,14,1,14,0,,14,1,,,,7,7,,,1084,335,13,7,6,7,5,3,1,1,,,,,1,,,,,1,"2.33 One of the isolates which were resistant to rifampicin by GeneXpert was sensitive to rifampin and resistant to isoniazid phenotypically. 

2.36 to 2.40 Fluoroquinolone susceptibility is performed using LPA. LPA machine was broken in March 2020. Therefore, It was not possible to carry out drug susceptibility for fluoroquinolones using LPA. One isolate from 2020 was sent to reference laboratory for bedaquiline and linezolid ",0,6679,33,13,,,,,1,"For 2.46, National AIDS program indicator value is different as they report for the cohort of patients registered for HIV and TB program reports for the cohort of TB patients registered during that year.",47,0,,,47,380,0,,,129,2167,,,0,,,,,1,,,2021-06-28,0,,,,,,,,,1,,,,,,
Liberia,LR,2020,3803,1067,1982,71,15,20,63,,6852,6958,169,7021,3783,109,20,,1,221,360,,,254,,,,650,848,874,617,354,207,3550,0,244,,,198,,,,478,535,542,434,237,123,2349,3,1056,60,923,,,1,The Program reporting does  not capture data on  foreign -born individuals or among non-citizens,41,0,14,41,4,0,1,41,1,44,1,41,0,1,,923,20,39,0,,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,6888,765,685,0,,,,1,,,,Reporting dates were not provided.,,453,6519,0,,,,,,,,Reporting dates were not provided.,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Lesotho,LS,2020,2462,1082,382,383,216,40,59,,3926,4565,698,4624,2462,428,0,,1,220,44,18,33,,,45,103,,540,716,501,444,581,2930,0,47,24,25,,,58,121,,396,362,214,107,186,1444,0,191,60,3993,,,1,,160,2,2,110,1,2,1,103,1,107,1,19,98,0,,2209,385,109,51,,,109,53,3,4,109,51,3,2,61,2,2,,,,,,,,,1,,1,4442,2602,2410,1,170,51,51,1,,2411,0,,,,,1,,,18697,20624,,,0,,,33369,39725,0,,"The data is for all clients who initiated ART in 2019, inclusive of  new on ART and those diagnosed previous years. The programme started collection of Data on completion rate in the DHIS2 in April 2020. 84% Used is from the IPT assessment report conducted in 2019 by the consultant.
",2021-06-28,0,,,,,,,,,0,,,,,,
Lithuania,LT,2020,483,59,49,96,0,1,38,0,591,688,135,726,483,134,0,13,1,220,2,3,1,,,3,9,,53,84,151,135,81,516,0,1,4,2,,,3,7,,23,32,27,29,38,159,0,13,60,0,,,,Data extracted from ECDC/TESSy 2021-06-28,71,34,0,71,0,34,1,,1,,3,,0,0,"{2.14-2-20: Data extracted from ECDC/TESSy 2021-06-28}. 
2.23. and 2.22 the data are still being analyzed",483,134,61,43,,,483,134,97,49,61,43,60,43,104,34,,,,,,,0,0,34,1,Data extracted from ECDC/TESSy 2021-06-28,1,616,18,,,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,62,,62,1,
Luxembourg,LU,2020,23,1,8,0,0,0,2,1,32,32,2,34,20,1,3,29,1,220,0,0,0,,,1,6,,13,3,3,1,3,30,0,0,0,0,,,0,0,,0,1,1,0,0,2,0,0,60,0,,,,Data extracted from ECDC/TESSy 2021-06-28,0,0,0,0,0,0,3,,3,,3,,,1,{2.14-2-20: Data extracted from ECDC/TESSy 2021-06-28}. ,18,1,0,0,,,18,1,1,0,0,0,0,0,0,0,,,,,,,0,0,0,1,Data extracted from ECDC/TESSy 2021-06-28,1,28,0,0,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,0,0,0,0,
Latvia,LV,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,,,,,,,,,,,,,,,,
Libya,LY,2020,739,288,717,4,0,0,31,,1744,1748,35,1779,739,25,0,629,0,221,12,,,50,,,,375,313,157,108,60,70,1083,0,13,,,43,,,,137,132,85,72,62,55,543,0,118,60,800,,,0,,15,0,3,12,1,0,1,6,1,5,1,4,12,0,NO ADVERSE EFFECT HAD BEEN REPORTED IN 2020,732,0,12,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1690,11,,,,,,1,,,1,,,,,1,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Morocco,MA,2020,12458,1180,13897,1060,47,376,758,,27535,29018,2241,29776,12455,1693,3,,1,221,264,,,741,,,,3657,4554,2886,1908,1697,1548,16250,0,237,,,838,,,,2911,2514,1772,1220,1194,1077,10688,0,2080,60,18966,,,1, ,245,26,2,245,3,26,1,166,1,131,1,5,,1,Le système d'information ne permet pas de renseigner la donnée pour la cas 2.27,,,91,180,,,36,85,33,75,32,76,30,69,138,26,,,,,,,,,,1,Le PNLAT ne dispose pas actuellement des tests de sensibilité à la bédaquiline et/ou au linézolide. Les cases 2.38 à 2.40 ne peuvent être renseignées.,1,12941,240,236,,,,,1,,236,0,,,93,1269,0,,,,,209,16318,0,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Monaco,MC,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,220,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,,,,0,,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,,,,,,,,,,,,,,,,
Republic of Moldova,MD,2020,881,383,122,241,128,12,229,47,1386,1767,610,1996,881,470,0,8,1,220,10,8,13,,,20,47,,229,344,310,260,99,1309,0,9,7,9,,,14,29,,84,96,71,63,45,402,0,56,60,1664,,,0,,483,219,52,483,13,52,1,356,1,508,1,27,535,0,,840,367,218,195,234,109,659,234,216,121,168,109,166,109,413,188,7,5,0,7,169,0,0,0,0,1,,1,1693,219,170,,,,,0,,170,0,,,85,721,0,,,,,194,6810,0,,,,,1,,,2021-06-28,0,,,,,,,,,1,,40466,40466,209,0,
Montenegro,ME,2020,29,7,2,2,0,0,0,0,38,40,2,40,29,2,0,4,1,221,0,,,0,,,,5,4,3,4,6,7,29,0,0,,,0,,,,1,2,3,1,0,4,11,0,0,60,35,,,1,,0,0,0,0,0,0,0,,0,,0,,0,1,,29,2,0,0,,,26,2,0,0,0,0,0,0,0,0,,,,,,,,,,1,,1,35,0,0,,,,,1,,,1,,,,,1,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,3,1,
Madagascar,MG,2020,23538,4216,7261,1107,0,0,1029,,35015,36122,2136,37151,23538,1625,0,0,1,221,589,,,876,,,,3720,4587,4414,3595,2472,1386,20174,0,557,,,995,,,,3451,3304,2524,1820,1186,646,12931,0,3017,60,1600,,,0,,73,0,0,41,2,0,0,,0,,0,,41,0,,6,1068,6,67,,,6,1068,0,14,6,67,0,14,32,0,0,0,0,0,0,0,0,0,0,0,,1,23939,390,158,,,,,0,,158,0,,,158,1469,0,,,,,,,1,,"
les données relatives à cet indicateur n'est pas encore disponible",,,1,,"les données ne sont pas encore disponibles pour l'année 2020
",2021-06-28,0,,,,,,,,,0,,,,,,
Marshall Islands,MH,2020,27,78,29,4,7,2,0,,134,147,13,147,27,4,0,4,1,220,17,6,2,,,3,3,,10,5,10,9,4,44,0,15,7,7,,,7,2,,9,12,5,9,5,49,0,54,60,98,,,0,,0,0,0,0,0,0,0,,0,,0,,0,0,,20,4,0,0,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,135,0,0,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,,
North Macedonia,MK,2020,95,16,19,10,0,3,5,5,130,143,18,148,95,10,0,7,1,221,2,,,2,,,,8,17,19,21,16,10,91,0,2,,,4,,,,9,6,6,3,8,10,42,0,10,0,,,,1,,2,0,0,2,0,0,0,,1,1,0,,2,0,,81,10,1,1,,,81,10,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,69,1,1,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,1,
Mali,ML,2020,4500,1060,1120,172,63,7,219,,6680,6922,461,7141,4500,391,0,0,1,221,62,,,93,,,,602,1059,913,717,627,569,4487,0,36,,,83,,,,383,529,426,329,279,215,2161,0,274,60,2001,,,1,,57,2,0,54,1,2,1,1,0,,0,,5,1,Hazim Timimi (WHO/Geneva) updated 2.15 from 59 to 57 based on feedback comment that said 2.14 included the 2 cases in 2.15 (it is not supposed to include them!),2412,284,35,24,,,9,22,8,20,8,20,8,18,32,2,0,2,0,0,0,0,0,0,0,1,,1,5490,513,501,,,,,1,La porte d'entrée de la collecte des malades co-infecté  TB VIH est les unités de prise en charge TB donc les données de L'ONUSIDA doivent être revues et corrigées,6922,0,,,96,426,0,,,319,319,,,0,,,391,528,0,,,2021-06-28,0,,,,,,,,,1,,,,,,
Myanmar,MM,2020,41433,41576,9632,5385,4857,490,2007,,92641,103373,12739,105380,41427,7006,6,6,1,220,3547,2785,1211,,,2472,3763,,10697,12676,11202,9368,8206,58384,10,2628,2090,983,,,2261,3392,,5954,5056,5125,5051,4885,31724,11,13244,60,59243,,,0,"All the above mentioned data are just compiling drug-susceptible and drug-resistant notified cases from respective patient registers. Overlapping cases between these two registers cannot be excluded without establishing One comprehensive data base system inclusive of both DS- and DR-TB cases.   According to previous year practice, late submitted cases would be occasionally occured while on annual data validation, but it cannot be happened due to the current political unrest since February 2021.",2190,178,5,2240,24,125,1,391,1,94,1,50,773,1,"2.15 BMUs in NTP network cannot provide this data. Instead, it was previously provided by NTRL and other culture laboratories. Unfortunately, for this reporting period, because of current political instability, NTRL data could only be provided. Additional FQ resistant cases whose have already been registered as RR/MDR-TB cannot be excluded.",33246,6076,1302,1066,4678,711,442,810,127,159,89,63,79,48,1272,178,,,,,,,,,,1,"2.30-2.37 Although BMUs cannot provide these data, lab.(NTRL only) data is submitted as proxy data. According to current NTP guidelines, because of limited resources, FL-LPA testing is only conducted among sputum smear still positive cases at the end of intensive phase (non-converter) who are also not positive results by GeneXpert. 
2.38-2.42 Capacity to perform DST for BDQ and Lzd has not been developed yet.",1,97890,8272,6133,1,11863,398,277,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,1,,,,,,2020,,,1,"The HIV prevalence was 9.2% among new TB patients in 2020. However, this data has not been disseminated by NAP yet although it was planned to do so in last February, kindly not to include in GTB report please. The last HSS done before 2020 was in 2018. The prevalence was 9.3% (CI: 8.5-10.1).",,,,,
Mongolia,MN,2020,1612,471,1321,313,59,85,230,,3404,3861,687,4091,1612,465,0,0,,221,56,,,162,,,,393,428,422,346,217,102,1908,,75,,,162,,,,379,428,244,209,132,106,1498,,455,60,1644,,,1,,171,8,16,163,14,8,1,32,0,,0,,12,1,,1612,412,90,53,313,53,545,151,114,41,37,19,33,18,143,8,,,,,,,,,,1,,1,3351,4,4,,,,,1,,4,0,,,2,25,0,,,1,157,1,223,0,,,1,1,0,,,2021-06-28,0,,,,,,,,,1,,,,,,
"China, Macao SAR",MO,2020,228,31,75,23,1,5,2,,334,363,31,365,210,25,18,55,1,220,0,0,0,,,0,9,,31,16,23,68,86,233,0,0,0,3,,,2,11,,25,25,17,22,25,127,0,3,60,285,,,0,,4,0,0,4,0,0,0,,1,4,0,,4,0,,209,23,4,0,,,209,23,20,2,4,0,3,0,2,0,,,,,,,,,,1,,1,336,2,2,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,,
Northern Mariana Islands,MP,2020,24,14,2,0,1,0,0,,40,41,1,41,24,0,0,27,1,220,0,0,1,,,0,2,,2,3,4,10,5,26,0,0,0,0,,,0,1,,2,3,3,3,2,14,0,1,60,41,,,0,"There were 41 TB patients in 2020, of which 24 (58%) were bacteriologically confirmed as pulmonary TB.",2,0,0,2,0,0,1,1,1,1,0,,2,0,,24,0,2,0,,,24,0,3,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,1,41,0,0,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,,
Mauritania,MR,2020,1217,577,495,40,9,5,8,,2289,2343,62,2351,1217,48,0,20,1,221,12,,,32,,,,289,331,236,186,218,192,1452,11,7,,,36,,,,197,172,142,107,98,74,790,3,87,0,,,,1,,22,25,0,22,0,3,1,3,0,,0,,0,1,,0,48,0,22,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,992,69,51,,,,,0,,37,0,,,,,1,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,1,,,,,,
Montserrat,MS,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,,,,,,,,,,,,,,,,
Malta,MT,2020,52,47,41,0,0,0,0,0,140,140,0,140,39,0,13,137,1,220,3,0,2,,,30,22,,32,5,9,2,1,101,10,1,1,0,,,3,5,,11,3,0,0,0,22,0,7,60,0,,,,Data extracted from ECDC/TESSy 2021-06-28,3,0,0,0,0,0,3,,3,,3,,,1,{2.14-2-20: Data extracted from ECDC/TESSy 2021-06-28}. ,34,0,1,0,,,34,0,5,0,1,0,1,0,0,0,,,,,,,0,0,0,1,Data extracted from ECDC/TESSy 2021-06-28,1,119,2,2,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,1,,,,,0,
Mauritius,MU,2020,83,0,16,2,0,0,2,,99,101,4,103,83,4,0,14,1,220,1,1,0,,,4,4,,14,17,15,12,2,68,0,1,0,0,,,0,6,,5,9,1,6,3,30,0,3,61,,101,101,0,,0,0,0,0,0,0,0,,0,,0,,0,0,,83,4,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,101,18,18,,,,,0,,18,0,,,5,312,0,,,,,,,0,,,0,0,0,,,2021-06-28,0,,,,,,,,,0,,,,,,
Maldives,MV,2020,69,0,38,0,0,0,0,,107,107,0,107,69,0,0,31,1,222,,,,,1,,,8,22,17,10,6,8,71,0,,,,,2,,,6,10,7,6,3,1,33,0,3,60,67,,,0,,1,0,0,1,0,0,1,1,0,,0,,0,0,,43,0,1,0,,,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,,
Malawi,MW,2020,6074,3250,4223,640,540,406,247,,13547,15133,1833,15380,6074,800,0,,1,221,296,,,418,,,,905,1962,2383,1503,830,885,8468,0,315,,,366,,,,741,1147,1422,884,539,537,5270,0,1395,60,4543,,,1,,108,0,14,108,8,0,1,98,1,104,0,,122,0,The remaining data will be updated after verification of data compiled. ,3135,527,42,36,,,,,,,,,,,,,,,,,,,,,,1,,1,15036,6699,6613,0,,,,1,,6613,0,,,2204,200458,0,,,51870,864503,,,0,,,,,1,,,2021-06-28,0,,,,,,,,,1,,,,,,
Mexico,MX,2020,9593,3609,3550,627,147,77,736,,16752,17603,1587,18339,9593,1363,0,5,1,220,106,60,92,,,577,984,,2126,2068,2137,1572,1354,10818,0,84,71,122,,,388,650,,1181,1042,1143,948,898,6250,0,535,60,737,,,0,,270,22,10,185,3,22,1,87,1,195,0,,207,0,,2275,741,149,123,,,367,215,191,119,149,123,85,69,150,22,0,0,0,0,0,22,0,0,0,0,,1,13578,1718,1157,1,210,12,,1,"2.46 Dato preliminar, CENSIDA se encuentra en proceso de verificación de datos. 
2.46b PNT está en posibilidades de desagregar los casos por edad solicitada, sin embargo, CENSIDA comenta que no podría obtener el dato de quienes están en TARV separado en este grupo de edad.",,1,,,,,1,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,No se ha realizado vigilancia no rutinaria debido a que en México se realiza vigilancia sistemática de la prevalencia de VIH.,,,,,
Malaysia,MY,2020,13247,4956,3479,804,308,179,671,,21682,22973,1962,23644,13247,804,0,3340,1,220,166,84,108,,,512,1214,,2663,2521,2544,2443,2321,14218,,121,85,200,,,589,985,,1789,1253,1195,1123,1057,7991,,764,0,,,,1,,209,12,0,112,1,11,1,9,0,,0,,0,1,MOH is monitoring patients on DR-TB treatment but data were not well documented as in aDSM framework.,10328,754,93,101,,,10328,654,221,89,93,98,45,59,174,12,0,0,0,0,0,0,0,0,12,0,"1. Number of patients with resistance to rifampicin (RR-TB) among unknown patient history= 14
1.1 Total MDR-TB =4
1.2 Total RR= 10 (2 with no result for INH)

2. Number of patients with resistance to isoniazid among unknown patient history=19

3. 14 RR new cases detected by GeneXpert not included in the data due no result for INH",1,19136,1075,328,,,,,0,,328,0,,,255,3241,0,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
